ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
GO:0060088	https://identifiers.org/uniprot:Q80VM7	IMP	PMID:35175278	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q8K3H5	IMP	PMID:26754646	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q8K3H5	IGI	PMID:26754646	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q8VIM6	IMP	PMID:21165971	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0006954	https://identifiers.org/uniprot:A1E959	IDA	PMID:25911094	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002528	https://identifiers.org/uniprot:A6NLJ0	IDA	PMID:15527968	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002553	https://identifiers.org/uniprot:O00161	IMP	PMID:18253931	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O00182	IDA	PMID:23817958	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070269	https://identifiers.org/uniprot:O14862	IDA	PMID:19158675	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070269	https://identifiers.org/uniprot:O14862	IDA	PMID:19158676	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0090594	https://identifiers.org/uniprot:O15455	IDA	PMID:27830702	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O15553	IDA	PMID:11468188	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O35457	IDA	PMID:18794339	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0006954	https://identifiers.org/uniprot:O43164	IMP	PMID:28471450	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O43318	IDA	PMID:34017102	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O43734	IDA	PMID:17277779	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0006954	https://identifiers.org/uniprot:O43820	IDA	PMID:18390475	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002523	https://identifiers.org/uniprot:O54689	IMP	PMID:19050256	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002282	https://identifiers.org/uniprot:O54885	IMP	PMID:25690660	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0070269	https://identifiers.org/uniprot:O60443	IDA	PMID:28459430	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070269	https://identifiers.org/uniprot:O60443	IDA	PMID:33852854	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070269	https://identifiers.org/uniprot:O60443	IDA	PMID:35594856	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0141201	https://identifiers.org/uniprot:O60443	IDA	PMID:32188940	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0141201	https://identifiers.org/uniprot:O60443	IDA	PMID:33852854	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0141201	https://identifiers.org/uniprot:O60443	IDA	PMID:35594856	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002232	https://identifiers.org/uniprot:O70131	IDA	PMID:24917672	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002232	https://identifiers.org/uniprot:O70131	IMP	PMID:30510259	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0006954	https://identifiers.org/uniprot:O70131	IMP	PMID:24347169	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0141201	https://identifiers.org/uniprot:O70131	IDA	PMID:36468682	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0141201	https://identifiers.org/uniprot:O70131	IDA	PMID:37196676	http://purl.obolibrary.org/obo/NCBITaxon_10090
