ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
GO:0097208	https://identifiers.org/uniprot:O96009	IDA	PMID:18216060	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P01193	IDA	PMID:1329576	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:P01193	IDA	PMID:16219686	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:P01326	IDA	PMID:15788565	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0031091	https://identifiers.org/uniprot:P02671	IDA	PMID:6777381	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:P02675	IDA	PMID:6777381	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:P02679	IDA	PMID:6777381	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P02788	IDA	PMID:11907569	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042581	https://identifiers.org/uniprot:P02788	IDA	PMID:2981589	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0033093	https://identifiers.org/uniprot:P04275	IDA	PMID:3082891	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0033093	https://identifiers.org/uniprot:P04275	IDA	PMID:3087627	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001669	https://identifiers.org/uniprot:P05132	IDA	PMID:27105888	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:P05154	IDA	PMID:7521127	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002080	https://identifiers.org/uniprot:P05154	IDA	PMID:9510955	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:P05154	IDA	PMID:9556620	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P05164	IDA	PMID:11907569	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042582	https://identifiers.org/uniprot:P05164	IDA	PMID:2981589	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042582	https://identifiers.org/uniprot:P06865	IDA	PMID:25645918	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P06879	IDA	PMID:16219686	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:P06879	IDA	PMID:9247267	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:P06880	IDA	PMID:1329576	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0031091	https://identifiers.org/uniprot:P07093	IDA	PMID:19855083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:P07093	IMP	PMID:19855083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042582	https://identifiers.org/uniprot:P07686	IDA	PMID:25645918	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P07996	IDA	PMID:101549	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:P07996	IDA	PMID:6777381	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:P08246	IDA	PMID:11907569	http://purl.obolibrary.org/obo/NCBITaxon_9606
