cluster_id_label,supertype_id_label,subclass_id_label,cluster_markers_combo,cluster_markers_combo_(within_subclass),clusterName,marker_1,f_score_1,marker_2,f_score_2,marker_3,f_score_3,cxg_dataset_title
0026 L5/6 IT TPE-ENT Glut_2,0008 L5/6 IT TPE-ENT Glut_2,003 L5/6 IT TPE-ENT Glut,"['Prss22', 'Il1rapl2', 'Fgf11', 'Met']","['Cxcl12', 'Fezf2', 'Scml4']",0026 L5/6 IT TPE-ENT Glut_2,Cxcl12,0.09259259259259259,,,,,WMB_abc_atlas_access
0027 L5/6 IT TPE-ENT Glut_2,0008 L5/6 IT TPE-ENT Glut_2,003 L5/6 IT TPE-ENT Glut,"['A830029E22Rik', 'Dcn', 'Adamts1', 'Fibcd1']","['Tnfaip6', 'Fibcd1']",0027 L5/6 IT TPE-ENT Glut_2,Fibcd1,0.4069767441860465,,,,,WMB_abc_atlas_access
0028 L5/6 IT TPE-ENT Glut_2,0008 L5/6 IT TPE-ENT Glut_2,003 L5/6 IT TPE-ENT Glut,"['Lipg', 'Lncbate10', 'Pamr1', 'Drd1']","['Lncbate10', 'Drd1']",0028 L5/6 IT TPE-ENT Glut_2,Lncbate10,0.30303030303030304,,,,,WMB_abc_atlas_access
0029 L5/6 IT TPE-ENT Glut_3,0009 L5/6 IT TPE-ENT Glut_3,003 L5/6 IT TPE-ENT Glut,"['4930407I19Rik', 'Satb2', 'Crispld2', 'Chst9']",['Crispld2'],0029 L5/6 IT TPE-ENT Glut_3,Crispld2,0.4716981132075473,,,,,WMB_abc_atlas_access
0030 L5/6 IT TPE-ENT Glut_4,0010 L5/6 IT TPE-ENT Glut_4,003 L5/6 IT TPE-ENT Glut,"['Dcn', 'Prss22', 'Fibcd1', 'Kirrel3']","['Pde11a', 'Stra6']",0030 L5/6 IT TPE-ENT Glut_4,Pde11a,0.5056179775280899,,,,,WMB_abc_atlas_access
0031 L5/6 IT TPE-ENT Glut_5,0011 L5/6 IT TPE-ENT Glut_5,003 L5/6 IT TPE-ENT Glut,"['Susd5', 'Met', 'Trhr', 'Grp']",['Trhr'],0031 L5/6 IT TPE-ENT Glut_5,Trhr,0.2898550724637681,,,,,WMB_abc_atlas_access
0032 L5/6 IT TPE-ENT Glut_6,0012 L5/6 IT TPE-ENT Glut_6,003 L5/6 IT TPE-ENT Glut,"['Osr1', 'Esr2', 'Cpm', 'Col5a2']",['Col5a2'],0032 L5/6 IT TPE-ENT Glut_6,Col5a2,0.704225352112676,,,,,WMB_abc_atlas_access
0033 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,"['4933406J09Rik', 'Cntnap3', 'Dpp10', 'Osr1']","['Cntnap3', 'Rftn1', 'Trbc2']",0033 L6 IT CTX Glut_1,Cntnap3,0.3991596638655462,,,,,WMB_abc_atlas_access
0034 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,"['Blnk', 'Alkal1', 'Ccdc3', 'Npy2r']","['Npy2r', 'Ccdc3', 'Rxfp1']",0034 L6 IT CTX Glut_1,Ccdc3,0.5555555555555557,,,,,WMB_abc_atlas_access
0035 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,"['Osr1', 'Rxfp1', 'Rab38', 'Ccdc3']","['Rab38', 'Cpne7']",0035 L6 IT CTX Glut_1,Rab38,0.30303030303030304,,,,,WMB_abc_atlas_access
0036 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,"['Blnk', 'S100a3', 'Cxcr4', 'Pcdh15']","['Col5a2', 'Igfn1']",0036 L6 IT CTX Glut_1,Col5a2,0.40697674418604657,,,,,WMB_abc_atlas_access
0037 L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,"['Osr1', 'Il1rapl2', 'Met', 'Arhgap25']","['Col23a1', 'Rhbdl3', 'Chn2']",0037 L6 IT CTX Glut_1,Col23a1,0.3846153846153846,,,,,WMB_abc_atlas_access
0038 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Colq', 'Egr3', 'Penk', 'Trbc2']","['Fign', 'Penk']",0038 L6 IT CTX Glut_2,Fign,0.1744186046511628,,,,,WMB_abc_atlas_access
0039 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Hspb3', 'Robo3', 'Cryab', 'Rspo1']",['Rspo1'],0039 L6 IT CTX Glut_2,Rspo1,0.2459016393442623,,,,,WMB_abc_atlas_access
0040 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Blnk', 'Sulf1', 'Cryab', 'Slc30a3']","['Inpp4b', 'Pou6f2', 'Fmn1']",0040 L6 IT CTX Glut_2,Fmn1,0.09259259259259259,,,,,WMB_abc_atlas_access
0041 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Osr1', 'Satb2', 'Ighm', 'Chn2']","['Ighm', 'Whrn', 'Pdia5', 'Pou6f2', 'Rgs8']",0041 L6 IT CTX Glut_2,Pdia5,0.11686143572621034,,,,,WMB_abc_atlas_access
0042 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Blnk', 'Ighm', 'Galnt14', 'Pou3f1']","['Ighm', 'Pou3f1', 'Ccbe1', 'Pou6f2']",0042 L6 IT CTX Glut_2,Ighm,0.22248243559718972,Pou3f1,0.16339869281045752,,,WMB_abc_atlas_access
0043 L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,004 L6 IT CTX Glut,"['Gm11549', 'Ighm', 'C1ql3', 'Pld5']","['Ighm', 'Pld5', 'Chn2', 'Pou3f1']",0043 L6 IT CTX Glut_2,Ighm,0.14388489208633093,Pld5,0.13796909492273732,,,WMB_abc_atlas_access
0044 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,"['Dkkl1', 'Fst', 'Il1rapl2', 'Fign']",['Igsf3'],0044 L6 IT CTX Glut_3,Igsf3,0.3857142857142857,,,,,WMB_abc_atlas_access
0045 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,"['Prss22', 'Fst', 'Drd1', 'BC006965']","['BC006965', 'Ptpru', 'Fst', 'Rspo2']",0045 L6 IT CTX Glut_3,BC006965,0.2536231884057971,,,,,WMB_abc_atlas_access
0046 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,"['Fst', 'Satb2', 'Lgr5', 'Adcyap1']","['Lgr5', 'Adcyap1', 'Lamp5', 'Pparg']",0046 L6 IT CTX Glut_3,Lgr5,0.2898550724637681,Adcyap1,0.14742014742014742,,,WMB_abc_atlas_access
0047 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,"['Prss22', 'Pou3f1', 'Pld5', 'Met']","['Gpr88', 'Tmem215']",0047 L6 IT CTX Glut_3,Gpr88,0.47468354430379744,,,,,WMB_abc_atlas_access
0048 L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,004 L6 IT CTX Glut,"['Fst', 'Satb2', 'Lgr5', 'Plekha2']","['Lgr5', 'Plekha2']",0048 L6 IT CTX Glut_3,Lgr5,0.28761061946902655,Plekha2,0.0,,,WMB_abc_atlas_access
0049 L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,004 L6 IT CTX Glut,"['Ptgs2', 'Rrad', 'Npy2r', 'Drd1']","['Rrad', 'Ptgs2']",0049 L6 IT CTX Glut_4,Ptgs2,0.47029702970297027,,,,,WMB_abc_atlas_access
0050 L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,004 L6 IT CTX Glut,"['Osr1', 'Met', 'Gm5820', '1700023F02Rik']","['Cplx3', 'Igfn1', 'Osr1', 'Sh2d4b']",0050 L6 IT CTX Glut_4,Cplx3,0.3508771929824561,,,,,WMB_abc_atlas_access
0051 L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,004 L6 IT CTX Glut,"['A830029E22Rik', 'Tnfaip6', 'Il1rapl2', 'Fst']","['Tnfaip6', 'Col18a1']",0051 L6 IT CTX Glut_4,Tnfaip6,0.47520661157024796,,,,,WMB_abc_atlas_access
0052 L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,004 L6 IT CTX Glut,"['Adgrd1', '1700023F02Rik', 'Tnfaip6', 'Lrrc55']","['Baz1a', 'Thsd7b']",0052 L6 IT CTX Glut_4,Baz1a,0.22727272727272727,,,,,WMB_abc_atlas_access
0053 L6 IT CTX Glut_5,0017 L6 IT CTX Glut_5,004 L6 IT CTX Glut,"['Blnk', 'Ccbe1', 'Rxfp1', 'Steap2']","['Ctsc', 'Scn4b', 'Unc13c']",0053 L6 IT CTX Glut_5,Ctsc,0.37610619469026546,,,,,WMB_abc_atlas_access
0054 L6 IT CTX Glut_5,0017 L6 IT CTX Glut_5,004 L6 IT CTX Glut,"['Blnk', 'Il1rapl2', 'Ccn4', 'Rprm']","['Boc', 'Arhgap25']",0054 L6 IT CTX Glut_5,Boc,0.30346820809248554,,,,,WMB_abc_atlas_access
0055 L5 IT CTX Glut_1,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,"['Tcap', 'Cbln2', 'Colq', 'Sema3d']",['Tcap'],0055 L5 IT CTX Glut_1,Tcap,0.6159420289855072,,,,,WMB_abc_atlas_access
0056 L5 IT CTX Glut_1,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,"['Colq', 'Egr3', 'Rxfp1', 'Col15a1']","['Rxfp1', 'Sema5a']",0056 L5 IT CTX Glut_1,Rxfp1,0.3349282296650718,,,,,WMB_abc_atlas_access
0057 L5 IT CTX Glut_1,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,"['Dkkl1', 'Colq', 'Wwtr1', 'Rxfp1']",['Wwtr1'],0057 L5 IT CTX Glut_1,Wwtr1,0.49019607843137253,,,,,WMB_abc_atlas_access
0058 L5 IT CTX Glut_2,0019 L5 IT CTX Glut_2,005 L5 IT CTX Glut,"['Dkkl1', 'Arhgap25', 'Il1rapl2', 'Egln3']","['Nos1', 'Blnk', 'Ptprm']",0058 L5 IT CTX Glut_2,Nos1,0.27472527472527475,,,,,WMB_abc_atlas_access
0059 L5 IT CTX Glut_2,0019 L5 IT CTX Glut_2,005 L5 IT CTX Glut,"['Cd34', 'Prkch', 'Il1rapl2', 'Prlr']",['Prkch'],0059 L5 IT CTX Glut_2,Prkch,0.2868852459016394,,,,,WMB_abc_atlas_access
0060 L5 IT CTX Glut_2,0019 L5 IT CTX Glut_2,005 L5 IT CTX Glut,"['Dkkl1', 'Npnt', 'Il1rapl2', 'Zar1l']",['Lypd1'],0060 L5 IT CTX Glut_2,Lypd1,0.7323232323232323,,,,,WMB_abc_atlas_access
0061 L5 IT CTX Glut_3,0020 L5 IT CTX Glut_3,005 L5 IT CTX Glut,"['Myl4', 'Rxfp2', 'Il1rapl2', 'Cdh20']","['Rxfp2', 'Bmpr1b', 'Cntnap5a']",0061 L5 IT CTX Glut_3,Rxfp2,0.6168831168831168,,,,,WMB_abc_atlas_access
0062 L5 IT CTX Glut_3,0020 L5 IT CTX Glut_3,005 L5 IT CTX Glut,"['Myl4', 'Colq', 'Tox2', 'Dkkl1']","['Spock3', 'Colq']",0062 L5 IT CTX Glut_3,Spock3,0.1724137931034483,,,,,WMB_abc_atlas_access
0063 L5 IT CTX Glut_4,0021 L5 IT CTX Glut_4,005 L5 IT CTX Glut,"['Gm10635', 'Batf3', 'Vwc2l']","['Gm10635', 'Vwc2l']",0063 L5 IT CTX Glut_4,Vwc2l,0.6611570247933884,,,,,WMB_abc_atlas_access
0064 L5 IT CTX Glut_4,0021 L5 IT CTX Glut_4,005 L5 IT CTX Glut,"['Myl4', 'Batf3', 'Gpr88', 'Kcnj16']","['Kcnj16', 'Ccdc80']",0064 L5 IT CTX Glut_4,Kcnj16,0.32051282051282054,,,,,WMB_abc_atlas_access
0065 L5 IT CTX Glut_5,0022 L5 IT CTX Glut_5,005 L5 IT CTX Glut,"['4933406J09Rik', 'Cck', 'Dkk2', 'Cd24a']",['Slc26a4'],0065 L5 IT CTX Glut_5,Slc26a4,0.6560283687943262,,,,,WMB_abc_atlas_access
0066 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Susd5', 'Met', 'St8sia2', 'Klhl13']","['Cbln1', 'Met']",0066 L4/5 IT CTX Glut_1,Cbln1,0.2514792899408284,,,,,WMB_abc_atlas_access
0067 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['BC006965', 'Endou', 'Il1rapl2', 'Ankfn1']","['Cox6a2', 'Ccdc80', 'Gm36251']",0067 L4/5 IT CTX Glut_1,Cox6a2,0.12773722627737227,,,,,WMB_abc_atlas_access
0068 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Dkkl1', 'Scnn1a', 'Il1rapl2', 'Tcerg1l']","['Tcerg1l', 'Col15a1', 'BC006965', 'Ccdc80']",0068 L4/5 IT CTX Glut_1,Tcerg1l,0.30201342281879195,Col15a1,0.112,,,WMB_abc_atlas_access
0069 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Dkkl1', 'Tcap', 'Cntn5', 'Fezf2']","['Met', 'Rspo1', 'S100b', 'Lypd1', 'Tafa2']",0069 L4/5 IT CTX Glut_1,Met,0.10971786833855797,,,,,WMB_abc_atlas_access
0070 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Dkkl1', 'Aldh1l1', 'Kcnh5', 'Shroom3']","['Gm2694', 'Bmpr1b', 'Htr7', 'Raver2', 'Trbc2']",0070 L4/5 IT CTX Glut_1,Htr7,0.14285714285714285,,,,,WMB_abc_atlas_access
0071 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Gm20752', 'Kcnh1', 'Tmem125', 'Scn7a']","['Tmem125', 'Sox5']",0071 L4/5 IT CTX Glut_1,Tmem125,0.2755905511811024,,,,,WMB_abc_atlas_access
0072 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['Dkkl1', 'Scn7a', 'Slc17a7', 'Tns1']","['Scn7a', 'Fign', 'Zar1l']",0072 L4/5 IT CTX Glut_1,Scn7a,0.14120667522464697,,,,,WMB_abc_atlas_access
0073 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['BC006965', 'Endou', 'Cntn5', 'Cdh13']","['Shisa3', 'Igfn1', 'Hsd11b1', 'Scnn1a', 'Tox']",0073 L4/5 IT CTX Glut_1,Shisa3,0.23255813953488372,,,,,WMB_abc_atlas_access
0074 L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,"['BC006965', 'Slc17a7', 'Scn7a', 'Endou']","['B130024G19Rik', 'Endou', 'Rmst']",0074 L4/5 IT CTX Glut_1,Endou,0.1724137931034483,,,,,WMB_abc_atlas_access
0075 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Gm20752', 'Pld5', 'Gm34567', 'Rspo1']","['Gm34567', 'Shisa6', 'S1pr3', 'Dkkl1', 'Trabd2b']",0075 L4/5 IT CTX Glut_2,Shisa6,0.2108433734939759,S1pr3,0.09842519685039368,,,WMB_abc_atlas_access
0076 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Ddit4l', 'Cartpt', 'Matn4']",['Matn4'],0076 L4/5 IT CTX Glut_2,Matn4,0.40404040404040403,,,,,WMB_abc_atlas_access
0077 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Ddit4l', 'Il12a', 'Tcerg1l', 'Cartpt']","['Npnt', 'Tmem232', 'Cartpt']",0077 L4/5 IT CTX Glut_2,Npnt,0.2615062761506276,,,,,WMB_abc_atlas_access
0078 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Ddit4l', 'Hspb3', 'Pld5', 'Fign']","['Rab37', 'Hgf', '4930447N08Rik', 'Maf', 'Tox']",0078 L4/5 IT CTX Glut_2,Rab37,0.12589928057553956,,,,,WMB_abc_atlas_access
0079 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Ddit4l', 'Rspo1', 'Pld5', 'Cyp39a1']","['Robo3', 'Cyp39a1', 'Hgf', 'Alcam', 'Cntnap5a']",0079 L4/5 IT CTX Glut_2,Cyp39a1,0.15895953757225437,,,,,WMB_abc_atlas_access
0080 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Tcap', 'Satb2', 'Cyp39a1', 'Mamdc2']","['Robo3', 'Plcxd3', 'Pld5', 'Ankfn1', 'Camk2d', 'Shisa6']",0080 L4/5 IT CTX Glut_2,Ankfn1,0.106318347509113,,,,,WMB_abc_atlas_access
0081 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Gm20752', 'Adam33', 'Tmem215', 'Tmem117']","['Col8a1', 'Ccnd1', 'Spon1', 'Barx2', 'Vav3']",0081 L4/5 IT CTX Glut_2,Col8a1,0.14492753623188406,,,,,WMB_abc_atlas_access
0082 L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,"['Ddit4l', 'Hspb3', 'Pou3f1', 'Htra1']","['Robo3', 'Htra1', 'Rasl10a', 'Ddit4l', 'Lhx2']",0082 L4/5 IT CTX Glut_2,Robo3,0.1519756838905775,,,,,WMB_abc_atlas_access
0083 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Prss22', 'Trhr', 'Il1rapl2', 'Rxfp1']","['Trhr', 'Rxfp1']",0083 L4/5 IT CTX Glut_3,Trhr,0.5,,,,,WMB_abc_atlas_access
0084 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Myl4', 'Colq', 'Il1rapl2', 'Egln3']","['Colq', 'Slc5a5']",0084 L4/5 IT CTX Glut_3,Colq,0.3939393939393939,,,,,WMB_abc_atlas_access
0085 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Myl4', 'Gpr88', 'Tcerg1l', 'Iqgap2']","['Arhgap25', 'Tcerg1l']",0085 L4/5 IT CTX Glut_3,Tcerg1l,0.2536231884057971,Arhgap25,0.14705882352941177,,,WMB_abc_atlas_access
0086 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Myl4', 'Gpr88', 'Scn5a', 'Slc17a7']",['Scn5a'],0086 L4/5 IT CTX Glut_3,Scn5a,0.43859649122807015,,,,,WMB_abc_atlas_access
0087 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Gm20752', 'Neurod6', 'Cyp26b1', 'Rspo1']","['Cyp26b1', 'Rspo1', 'Met']",0087 L4/5 IT CTX Glut_3,Cyp26b1,0.1744186046511628,,,,,WMB_abc_atlas_access
0088 L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,"['Gm10635', 'Gm20752', 'Cyp26b1']","['Gm10635', 'Cyp26b1']",0088 L4/5 IT CTX Glut_3,Gm10635,0.5154639175257731,,,,,WMB_abc_atlas_access
0089 L4/5 IT CTX Glut_4,0026 L4/5 IT CTX Glut_4,006 L4/5 IT CTX Glut,"['Gm34567', 'Met', 'Reln', 'Ovol2']","['Reln', 'Met', 'Gm34567']",0089 L4/5 IT CTX Glut_4,Reln,0.5084745762711864,,,,,WMB_abc_atlas_access
