clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
L5/6 NP_2,133,0.4607508532423208,0.20300751879699247,0.675,72998,13,106,27,2,"['SLC17A6', 'CRYM']",0.09239194542169571
L5/6 NP_3,500,0.5273892773892773,0.362,0.5953947368421053,72521,123,319,181,3,"['NPSR1-AS1', 'PLPP3', 'KIT']",0.08081546425819397
L5/6 NP_4,500,0.740632318501171,0.506,0.8377483443708609,72595,49,247,253,3,"['FSHR', 'CLMN', 'TLL1']",0.10924579948186874
L5/6 NP_5,500,0.5373831775700935,0.276,0.7040816326530612,72586,58,362,138,3,"['COL9A1', 'NPSR1', 'TLL1']",0.271440327167511
L5/6 NP_6,500,0.7685614849187936,0.53,0.8660130718954249,72603,41,235,265,2,"['NPSR1-AS1', 'ARHGAP42']",0.10495762526988983
L6 CT_1,500,0.665374677002584,0.412,0.7862595419847328,72588,56,294,206,3,"['LGR6', 'OR1Q1', 'SULF1']",1.0
L6 CT_2,500,0.791868932038835,0.522,0.9094076655052264,72618,26,239,261,3,"['SYT6', 'ITGA11', 'SEMA5B']",0.13257130980491638
L6 CT_3,500,0.632267441860465,0.348,0.7945205479452054,72599,45,326,174,4,"['SULF1', 'MEIS2', 'ADAMTSL1', 'KCNH5']",0.03893861919641495
L6 IT Car3_1,500,0.665,0.532,0.7093333333333334,72535,109,234,266,1,['LINC00348'],1.0
L6 IT Car3_2,500,0.6594036697247707,0.46,0.7395498392282959,72563,81,270,230,2,"['SMYD1', 'ITGB8']",0.28563541173934937
L6 IT_1,500,0.6710122699386504,0.35,0.8706467661691543,72618,26,325,175,3,"['THEMIS', 'HOPX', 'MKX']",0.07479213923215866
L6 IT_2,500,0.5810546875,0.238,0.9083969465648855,72632,12,381,119,3,"['LINC00343', 'ADAMTS3', 'PXDN']",0.2752422094345093
L6b_1,500,0.5724637681159421,0.316,0.7181818181818181,72582,62,342,158,3,"['SEMA3D', 'ITGA11', 'FAM160A1']",0.13024330139160156
L6b_2,500,0.565711462450593,0.458,0.6010498687664042,72492,152,271,229,2,"['NPFFR2', 'ROS1']",0.24611252546310425
L6b_3,500,0.6928969359331476,0.398,0.8504273504273504,72609,35,301,199,2,"['SLC15A5', 'ATP10A']",0.32867202162742615
L6b_4,500,0.5812101910828025,0.292,0.7724867724867724,72601,43,354,146,2,"['NR4A2', 'ATP8B4']",0.15670298039913177
L6b_5,451,0.5693519079345852,0.41685144124168516,0.6266666666666667,72581,112,263,188,3,"['NXPH4', 'NR4A2', 'SEMA3E']",0.17513109743595123
L6b_6,500,0.570388349514563,0.282,0.7663043478260869,72601,43,359,141,3,"['PCOLCE2', 'FAM160A1', 'SULF1']",0.08703772723674774
Lamp5 Lhx6_1,500,0.8216783216783217,0.564,0.9276315789473685,72622,22,218,282,2,"['CHST9', 'LAMP5']",0.2223288118839264
Lamp5_1,500,0.48856548856548865,0.376,0.5280898876404494,72476,168,312,188,3,"['ADAMTS20', 'KIT', 'FREM1']",0.05696304142475128
Lamp5_2,500,0.7316272965879266,0.446,0.87109375,72611,33,277,223,2,"['PBX3', 'KIT']",0.06907599419355392
Lamp5_3,500,0.6311576354679802,0.41,0.7295373665480427,72568,76,295,205,3,"['CA2', 'CPLX3', 'LAMP5']",0.1440291404724121
Lamp5_4,500,0.40425531914893614,0.304,0.4405797101449275,72451,193,348,152,4,"['ROR2', 'TRPC3', 'FBXL7', 'LINC00298']",0.0778505802154541
Lamp5_5,500,0.6249999999999999,0.434,0.7022653721682848,72552,92,283,217,3,"['NDNF', 'NPNT', 'LAMP5']",0.13209277391433716
Lamp5_6,500,0.6357493857493858,0.414,0.7340425531914894,72569,75,293,207,3,"['NDNF', 'KIT', 'TRPC3']",0.05344220995903015
Lamp5_7,500,0.42241379310344834,0.294,0.47419354838709676,72481,163,353,147,3,"['MYH11', 'MT-ND4L', 'KIT']",0.06996128708124161
Micro/PVM_1,500,0.9551056338028168,0.868,0.9796839729119639,72635,9,66,434,2,"['APBB1IP', 'DOCK8']",0.8080182075500488
